Site Name,Full Address,Preschool Spaces,Infant/Toddler Spaces,School Age Spaces,All Available Spaces,Facility Code,Town Code,Address,Town,ZIP Code,Latitude,Longitude,Town from Census,lat,lon,person_id,senator_district,senator_full_name,senator_first_name,senator_last_name,senator_party,representative_district,representative_full_name,representative_first_name,representative_last_name,representative_party
Paraiso Infantil (Catholic Charities),45 Wadsworth Street Hartford CT 06106,60.0,0.0,,60.0,FC0000643041,64.0,45 Wadsworth Street,Hartford,06106,41.75844,-72.679596,HARTFORD,41.75844,-72.67959599999999,ocd-person/d44bd84a-b02c-4c1b-94ee-05c8b1008e57,1,John W. Fonfara,John,Fonfara,Democratic,4,Julio A. Concepcion,Julio,Concepcion,Democratic
Pequenin Children Multicultural Readiness Academy,1400 Park Street Hartford CT 06106,72.0,0.0,,72.0,FC0000644541,64.0,1400 Park Street,Hartford,06106,41.758167,-72.70145,HARTFORD,41.758167,-72.70145,ocd-person/57900db1-ade5-4107-8025-a0c664f41a32,1,John W. Fonfara,John,Fonfara,Democratic,3,Minnie Gonzalez,Minnie,Gonzalez,Democratic
Richard Battles Day Care,30 Battles Street Hartford CT 06120,164.0,24.0,0.0,188.0,FC0000643241,64.0,30 Battles Street,Hartford,06120,41.78352,-72.67416,HARTFORD,41.78352,-72.67416,ocd-person/749be8b3-0b40-41ec-8670-7dfbfbc90b6e,1,John W. Fonfara,John,Fonfara,Democratic,5,Brandon L. McGee Jr.,Brandon,McGee,Democratic
Right Place School Readiness Child & Family Center-Hartford,123 Sigourney Street Hartford CT 06105,92.0,0.0,,92.0,FC0000643441,64.0,123 Sigourney Street,Hartford,06105,41.768845,-72.693825,HARTFORD,41.768845,-72.693825,ocd-person/acb9a83b-c921-4631-826e-ffd02e2203b9,2,Douglas McCrory,Douglas,McCrory,Democratic,7,Joshua M. Hall,Joshua,Hall,Democratic
River Street Early Learning Center (CREC),34 Sequassen Street Hartford CT 06106,5.0,0.0,,5.0,FC0002419514,64.0,34 Sequassen Street,Hartford,06106,41.756218,-72.66549,HARTFORD,41.756218,-72.66549,ocd-person/d44bd84a-b02c-4c1b-94ee-05c8b1008e57,1,John W. Fonfara,John,Fonfara,Democratic,4,Julio A. Concepcion,Julio,Concepcion,Democratic
Salvation Army Learning Center,100 Nelson Street Hartford CT 06120,30.0,0.0,,30.0,FC0000644741,64.0,100 Nelson Street,Hartford,06120,41.78856,-72.68121,HARTFORD,41.78856,-72.68121,ocd-person/83a4e876-4df7-48ef-8a84-7d7940585af9,2,Douglas McCrory,Douglas,McCrory,Democratic,5,Brandon L. McGee Jr.,Brandon,McGee,Democratic
SS Cyril and Methodius School Readiness Program (Catholic Charities),45 Groton Street Hartford CT 06106,48.0,0.0,,48.0,FC0000642941,64.0,45 Groton Street,Hartford,06106,41.75556,-72.67342,HARTFORD,41.755559999999996,-72.67342,ocd-person/d44bd84a-b02c-4c1b-94ee-05c8b1008e57,1,John W. Fonfara,John,Fonfara,Democratic,4,Julio A. Concepcion,Julio,Concepcion,Democratic
Trinity College Comm Child Center-Campus Care,300 Summit Street (Clemens Building) Hartford CT 06106,3.0,0.0,0.0,3.0,FC0000643641,64.0,300 Summit Street (Clemens Building),Hartford,06106,41.745167,-72.69263,HARTFORD,,,,,,,,,,,,,
Trinity College Comm Child Center-Life Science,300 Summit Street (Life Science Building) Hartford CT 06106,25.0,21.0,0.0,46.0,FC0000645741,64.0,300 Summit Street (Life Science Building),Hartford,06106,41.745167,-72.69263,HARTFORD,41.745166999999995,-72.69263000000001,ocd-person/d44bd84a-b02c-4c1b-94ee-05c8b1008e57,1,John W. Fonfara,John,Fonfara,Democratic,4,Julio A. Concepcion,Julio,Concepcion,Democratic
Village Early Childhood Learning Center,105 Spring Street Hartford CT 06105,20.0,0.0,,20.0,FC0000645941,64.0,105 Spring Street,Hartford,06105,41.770214,-72.683525,HARTFORD,41.770214,-72.683525,ocd-person/acb9a83b-c921-4631-826e-ffd02e2203b9,2,Douglas McCrory,Douglas,McCrory,Democratic,7,Joshua M. Hall,Joshua,Hall,Democratic
Warburton Day Care Center,420 Brookfield Street Hartford CT 06106,0.0,48.0,0.0,48.0,FC0000644441,64.0,420 Brookfield Street,Hartford,06106,41.742374,-72.708435,HARTFORD,41.742374,-72.708435,ocd-person/57900db1-ade5-4107-8025-a0c664f41a32,1,John W. Fonfara,John,Fonfara,Democratic,3,Minnie Gonzalez,Minnie,Gonzalez,Democratic
Women's League Child Development Center Inc.,1695 Main Street Hartford CT 06120,160.0,62.0,,222.0,FC0000643741,64.0,1695 Main Street,Hartford,06120,41.777645,-72.6765,HARTFORD,41.777645,-72.6765,ocd-person/acb9a83b-c921-4631-826e-ffd02e2203b9,1,John W. Fonfara,John,Fonfara,Democratic,7,Joshua M. Hall,Joshua,Hall,Democratic
YWCA Growing Tree ELC,195-205 Garden Street Hartford CT 06105,31.0,19.0,,50.0,FC0000643941,64.0,195-205 Garden Street,Hartford,06105,41.773365,-72.68711,HARTFORD,41.773365000000005,-72.68711,ocd-person/2a91c3d6-433a-4e8f-b5a5-38fc80b8ea57,2,Douglas McCrory,Douglas,McCrory,Democratic,1,Matthew Ritter,Matthew,Ritter,Democratic
Hebron Early Childhood Center,580 Gilead Street Hebron CT 06248,18.0,0.0,,18.0,FC0000670211,67.0,580 Gilead Street,Hebron,06248,41.674606,-72.40458,HEBRON,41.674606,-72.40458000000001,ocd-person/f664d091-23ab-46d0-a019-6009e0480a81,19,Catherine A. Osten,Catherine,Osten,Democratic,55,Robin Green,Robin,Green,Republican
Carelot Children's Center - Killingly,155 North Street Danielson CT 06239,6.0,8.0,10.0,24.0,FC0000690441,69.0,155 North Street,Danielson,06239,41.815933,-71.88276,DANIELSON,41.815933,-71.88276,ocd-person/77713b68-e8ef-455e-80a6-1614488fb71a,29,Mae Flexer,Mae,Flexer,Democratic,44,Anne Dauphinais,Anne,Dauphinais,Republican
EASTCONN Killingly Head Start,1620 Upper Maple Street Dayville CT 06241,,0.0,,0.0,FC0000690341,69.0,1620 Upper Maple Street,Dayville,06241,41.852932,-71.89474,DAYVILLE,41.852932,-71.89474,ocd-person/c30bb3b3-de40-4c0a-89a5-da36532694c9,29,Mae Flexer,Mae,Flexer,Democratic,51,Rick L. Hayes,Rick,Hayes,Republican
EdAdvance at Batcheller School,22 Williamsville Rd Rogers CT 06263,17.0,0.0,,17.0,FC0000000nan,69.0,22 Williamsville Rd,Rogers,06263,,,,,,,,,,,,,,,,
Killingly BOE at Goodyear Early Learning Center,22 Williamsville Road Rogers CT 06263,72.0,0.0,,72.0,FC0000698011,69.0,22 Williamsville Road,Rogers,06263,,,,,,,,,,,,,,,,
Killingly BOE at Killingly Central School,60 Soap Street Dayville CT 06241,10.0,0.0,,10.0,FC0000690111,69.0,60 Soap Street,Dayville,06241,41.85033,-71.884834,DAYVILLE,41.85033,-71.884834,ocd-person/c30bb3b3-de40-4c0a-89a5-da36532694c9,29,Mae Flexer,Mae,Flexer,Democratic,51,Rick L. Hayes,Rick,Hayes,Republican
Lebanon BOE at Lebanon Elementary School,479 Exeter Road Lebanon CT 06249,24.0,0.0,,24.0,FC0000710111,71.0,479 Exeter Road,Lebanon,06249,41.64093,-72.20668,LEBANON,41.64093,-72.20668,ocd-person/2342cde8-078f-4dd8-8879-f9fdaa036a94,19,Catherine A. Osten,Catherine,Osten,Democratic,47,Doug Dubitsky,Doug,Dubitsky,Republican
Ledyard BOE at STARS I,169 Gallup Hill Road Ledyard CT 06339,18.0,0.0,,18.0,FC0000720411,72.0,169 Gallup Hill Road,Ledyard,06339,41.427273,-71.97694,LEDYARD,,,,,,,,,,,,,
Ledyard BOE at STARS II Preschool,169 Gallup Hill Road Ledyard CT 06339,18.0,0.0,,18.0,FC0000720141,72.0,169 Gallup Hill Road,Ledyard,06339,41.427273,-71.97694,LEDYARD,41.427273,-71.97694,ocd-person/f9285869-efa5-474f-86b4-9cd79867ed7f,19,Catherine A. Osten,Catherine,Osten,Democratic,42,Mike France,Mike,France,Republican
Lisbon School Readiness,15 Newent Road Lisbon CT 06351,17.0,0.0,,17.0,FC0000730111,73.0,15 Newent Road,Lisbon,06351,41.604748,-72.017944,LISBON,41.604748,-72.017944,ocd-person/2342cde8-078f-4dd8-8879-f9fdaa036a94,19,Catherine A. Osten,Catherine,Osten,Democratic,47,Doug Dubitsky,Doug,Dubitsky,Republican
Manchester Early Learning Center - Keeney Street (Keeney Elementary),163 Broad Street Manchester CT 06042,0.0,0.0,24.0,24.0,FC0000770611,77.0,163 Broad Street,Manchester,06042,41.78406,-72.535484,MANCHESTER,,,,,,,,,,,,,
Manchester Early Learning Center at Highland Park,397 Porter Street Manchester CT 06040,0.0,0.0,6.0,6.0,FC0000770411,77.0,397 Porter Street,Manchester,06040,41.772285,-72.49472,MANCHESTER,41.772285,-72.49472,ocd-person/50c1a448-665c-492b-8a2c-0cfbfd587c4c,4,Steve Cassano,Steve,Cassano,Democratic,13,Jason Doucette,Jason,Doucette,Democratic
Manchester Early Learning Center at Preschool Bldg (80 Waddell Rd),80 Waddell Road Manchester CT 06040,80.0,0.0,7.0,87.0,FC0000770141,77.0,80 Waddell Road,Manchester,06040,41.767616,-72.54828,MANCHESTER,41.78406,-72.535484,ocd-person/50c1a448-665c-492b-8a2c-0cfbfd587c4c,4,Steve Cassano,Steve,Cassano,Democratic,12,Geoff Luxenberg,Geoff,Luxenberg,Democratic
Manchester Early Learning Center at Preschool Bldg (80 Waddell Rd),80 Waddell Road Manchester CT 06040,80.0,0.0,7.0,87.0,FC0000770141,77.0,80 Waddell Road,Manchester,06040,41.767616,-72.54828,MANCHESTER,41.767616,-72.54828,ocd-person/50c1a448-665c-492b-8a2c-0cfbfd587c4c,4,Steve Cassano,Steve,Cassano,Democratic,9,Jason Rojas,Jason,Rojas,Democratic
Manchester Early Learning Center at Vernon Street (Buckley Elementary),250 Vernon Street Manchester CT 06040,0.0,0.0,25.0,25.0,FC0000770311,77.0,250 Vernon Street,Manchester,06040,41.792904,-72.49271,MANCHESTER,41.792904,-72.49271,ocd-person/50c1a448-665c-492b-8a2c-0cfbfd587c4c,4,Steve Cassano,Steve,Cassano,Democratic,12,Geoff Luxenberg,Geoff,Luxenberg,Democratic
Manchester Preschool Center,60 Washington Street Manchester CT 06042,15.0,0.0,,15.0,FC0000778011,77.0,60 Washington Street,Manchester,06042,41.786877,-72.52123,MANCHESTER,41.786877000000004,-72.52123,ocd-person/50c1a448-665c-492b-8a2c-0cfbfd587c4c,4,Steve Cassano,Steve,Cassano,Democratic,12,Geoff Luxenberg,Geoff,Luxenberg,Democratic
Community Children's Center,797 Mansfield City Road Storrs CT 06250,10.0,0.0,,10.0,FC0000780241,78.0,797 Mansfield City Road,Storrs,06250,41.771088,-72.24757,STORRS,41.771088,-72.24757,ocd-person/77713b68-e8ef-455e-80a6-1614488fb71a,29,Mae Flexer,Mae,Flexer,Democratic,48,Brian T. Smith,Brian,Smith,Democratic
Mansfield Discovery Depot,50 Depot Road Storrs CT 06268,33.0,12.0,,45.0,FC0000780341,78.0,50 Depot Road,Storrs,06268,41.799343,-72.30543,STORRS,41.799343,-72.30543,ocd-person/77713b68-e8ef-455e-80a6-1614488fb71a,29,Mae Flexer,Mae,Flexer,Democratic,54,Gregory Haddad,Gregory,Haddad,Democratic
UConn Child Development Laboratories,843 Boston Road Storrs CT 06269,10.0,0.0,,10.0,FC0000780141,78.0,843 Boston Road,Storrs,06269,,,,,,,,,,,,,,,,
Center Preschool,474 Broad Street Meriden CT 06450,24.0,0.0,,24.0,FC0000800541,80.0,474 Broad Street,Meriden,06450,41.532955,-72.792915,MERIDEN,41.532955,-72.79291500000001,ocd-person/9b559d02-1ab6-4a26-ba08-5445cb703037,13,Mary Daugherty Abrams,Mary,Abrams,Democratic,84,Hilda E. Santiago,Hilda,Santiago,Democratic
Easterseals Children's Academy Meriden Campus,125 Broad Street Meriden CT 06450,77.0,0.0,,77.0,FC0000800341,80.0,125 Broad Street,Meriden,06450,41.524597,-72.80003,MERIDEN,41.524597,-72.80003,ocd-person/9b559d02-1ab6-4a26-ba08-5445cb703037,13,Mary Daugherty Abrams,Mary,Abrams,Democratic,83,Catherine F. Abercrombie,Catherine,Abercrombie,Democratic
First Congregational Preschool,62 Colony Street Meriden CT 06450,62.0,0.0,,62.0,FC0000800641,80.0,62 Colony Street,Meriden,06450,41.53952,-72.80173,MERIDEN,41.53952,-72.80173,ocd-person/9b559d02-1ab6-4a26-ba08-5445cb703037,13,Mary Daugherty Abrams,Mary,Abrams,Democratic,84,Hilda E. Santiago,Hilda,Santiago,Democratic
Little Panthers Preschool (YMCA),220 Coe Avenue Meriden CT 06451,16.0,0.0,,16.0,FC0000801441,80.0,220 Coe Avenue,Meriden,06451,41.534924,-72.82568,MERIDEN,41.534924,-72.82568,ocd-person/9b559d02-1ab6-4a26-ba08-5445cb703037,13,Mary Daugherty Abrams,Mary,Abrams,Democratic,84,Hilda E. Santiago,Hilda,Santiago,Democratic
Little Spartans Preschool (YMCA),121 Gravel Street Meriden CT 06450,20.0,0.0,,20.0,FC0000801341,80.0,121 Gravel Street,Meriden,06450,41.531677,-72.7743,MERIDEN,41.531677,-72.7743,ocd-person/155c99fd-9d59-47e7-9134-12872a72426f,13,Mary Daugherty Abrams,Mary,Abrams,Democratic,82,Michael D. Quinn,,,Democratic
Meriden YMCA Head Start,398 Liberty Street Meriden CT 06450,110.0,0.0,,110.0,FC0000800141,80.0,398 Liberty Street,Meriden,06450,41.53423,-72.78384,MERIDEN,41.53423,-72.78384,ocd-person/155c99fd-9d59-47e7-9134-12872a72426f,13,Mary Daugherty Abrams,Mary,Abrams,Democratic,82,Michael D. Quinn,,,Democratic
Meriden YMCA Infant andToddler Center,95 Main Street Meriden CT 06450,0.0,25.0,0.0,25.0,FC0000801541,80.0,95 Main Street,Meriden,06450,41.518787,-72.82857,MERIDEN,41.518786999999996,-72.82857,ocd-person/9b559d02-1ab6-4a26-ba08-5445cb703037,13,Mary Daugherty Abrams,Mary,Abrams,Democratic,84,Hilda E. Santiago,Hilda,Santiago,Democratic
Meriden YMCA Little Hounds Preschool at Hanover,208 Main Street Meriden CT 06051,22.0,0.0,,22.0,FC0000801641,80.0,208 Main Street,Meriden,06051,41.668285,-72.78186,NEW BRITAIN,41.668285,-72.78186,ocd-person/8703dbac-ef19-414d-afe4-1081451f124e,6,Rick Lopes,Rick,Lopes,Democratic,25,Robert Sanchez,Robert,Sanchez,Democratic
Meriden-New Britain-Berlin YMCA Early Learning Center,12 Johnson Avenue Meriden CT 06451,49.0,10.0,0.0,59.0,FC0000801941,80.0,12 Johnson Avenue,Meriden,06451,41.54116,-72.825165,MERIDEN,41.54116,-72.825165,ocd-person/9b559d02-1ab6-4a26-ba08-5445cb703037,13,Mary Daugherty Abrams,Mary,Abrams,Democratic,83,Catherine F. Abercrombie,Catherine,Abercrombie,Democratic
St. Stanislaus School Readiness,81 Akron Street Meriden CT 06451,60.0,0.0,,60.0,FC0000800941,80.0,81 Akron Street,Meriden,06451,41.532654,-72.79889,MERIDEN,41.532654,-72.79889,ocd-person/9b559d02-1ab6-4a26-ba08-5445cb703037,13,Mary Daugherty Abrams,Mary,Abrams,Democratic,84,Hilda E. Santiago,Hilda,Santiago,Democratic
YMCA Meriden Child Care Center,66 Crown Street Meriden CT 06450,109.0,0.0,,109.0,FC0000801141,80.0,66 Crown Street,Meriden,06450,41.534794,-72.80242,MERIDEN,41.534794,-72.80242,ocd-person/9b559d02-1ab6-4a26-ba08-5445cb703037,13,Mary Daugherty Abrams,Mary,Abrams,Democratic,84,Hilda E. Santiago,Hilda,Santiago,Democratic
Bright and Early Children's Learning Centers I,861 Middle Street Middletown CT 06457,69.0,0.0,,69.0,FC0000830241,83.0,861 Middle Street,Middletown,06457,41.59205,-72.72124,MIDDLETOWN,,,,,,,,,,,,,
Middletown BOE at Snow,299 Wadsworth Street Middletown CT 06457,60.0,0.0,,60.0,FC0000831111,83.0,299 Wadsworth Street,Middletown,06457,41.54227,-72.67275,MIDDLETOWN,41.54227,-72.67275,ocd-person/9b559d02-1ab6-4a26-ba08-5445cb703037,13,Mary Daugherty Abrams,Mary,Abrams,Democratic,33,Brandon Chafee,,,Democratic
Phelps Ingersoll Center for Children (YMCA),99 Union Street Middletown CT 06457,53.0,0.0,,53.0,FC0000830741,83.0,99 Union Street,Middletown,06457,41.55675,-72.64704,MIDDLETOWN,41.55675,-72.64704,ocd-person/46678375-9195-4d3a-8aef-6476397f1491,9,Matthew L. Lesser,Matthew,Lesser,Democratic,100,Quentin W. Phipps,Quentin,Phipps,Democratic
Phelps Ingersoll Ctr for Children at MacDonough,66 Spring Street Middletown CT 06457,16.0,0.0,,16.0,FC0000830941,83.0,66 Spring Street,Middletown,06457,41.56629,-72.65626,MIDDLETOWN,41.56629,-72.65626,ocd-person/46678375-9195-4d3a-8aef-6476397f1491,9,Matthew L. Lesser,Matthew,Lesser,Democratic,100,Quentin W. Phipps,Quentin,Phipps,Democratic
South Farms Nursery School,261 Ridge Road Middletown CT 06457,18.0,0.0,,18.0,FC0000830841,83.0,261 Ridge Road,Middletown,06457,41.541664,-72.642494,MIDDLETOWN,41.541664000000004,-72.642494,ocd-person/46678375-9195-4d3a-8aef-6476397f1491,9,Matthew L. Lesser,Matthew,Lesser,Democratic,100,Quentin W. Phipps,Quentin,Phipps,Democratic
Town and Country Early Learning Centers,195 S. Main Street Middletown CT 06457,60.0,0.0,,60.0,FC0000830641,83.0,195 S. Main Street,Middletown,06457,41.550926,-72.64983,MIDDLETOWN,41.550926000000004,-72.64983000000001,ocd-person/46678375-9195-4d3a-8aef-6476397f1491,9,Matthew L. Lesser,Matthew,Lesser,Democratic,100,Quentin W. Phipps,Quentin,Phipps,Democratic
Good Child Development Center,170 Old Point Road Milford CT 06460,29.0,25.0,0.0,54.0,FC0000840441,84.0,170 Old Point Road,Milford,06460,41.195293,-73.091415,MILFORD,41.195293,-73.091415,ocd-person/f37ce303-e106-4972-b453-4287b7915762,14,James J. Maroney,James,Maroney,Democratic,118,Frank Smith,,,Democratic
Milford BOE at Live Oaks Elementary School,575 Merwin Avenue Milford CT 06460,14.0,0.0,,14.0,FC0000841611,84.0,575 Merwin Avenue,Milford,06460,41.237217,-72.99646,MILFORD,41.237217,-72.99646,ocd-person/f37ce303-e106-4972-b453-4287b7915762,14,James J. Maroney,James,Maroney,Democratic,117,Charles J. Ferraro,Charles,Ferraro,Republican
Milford BOE at Orange Avenue School,260 Orange Avenue Milford CT 06461,29.0,0.0,,29.0,FC0000840811,84.0,260 Orange Avenue,Milford,06461,41.23812,-73.05009,MILFORD,41.23812,-73.05009,ocd-person/f0517411-fc60-49ad-86e6-1f025ab4579b,14,James J. Maroney,James,Maroney,Democratic,119,Kathy Kennedy,Kathy,Kennedy,Republican
Milford BOE at Pumpkin Delight,24 Art Street Milford CT 06460,13.0,0.0,,13.0,FC0000841011,84.0,24 Art Street,Milford,06460,41.20445,-73.079,MILFORD,41.20445,-73.079,ocd-person/f37ce303-e106-4972-b453-4287b7915762,14,James J. Maroney,James,Maroney,Democratic,118,Frank Smith,,,Democratic
TEAM - Egan Center (Milford),35 Mathew Street Milford CT 06460,7.0,0.0,0.0,7.0,FC0000840241,84.0,35 Mathew Street,Milford,06460,,,,,,,,,,,,,,,,
Naugatuck BOE @ Early Childhood Center at Central Avenue,28 Central Avenue Naugatuck CT 06770,40.0,0.0,,40.0,FC0000888211,88.0,28 Central Avenue,Naugatuck,06770,41.48879,-73.0512,NAUGATUCK,41.48879,-73.0512,ocd-person/0f203a11-5ba7-452a-89b4-720a617973fb,17,Jorge Cabrera,,,Democratic,70,Rosa C. Rebimbas,Rosa,Rebimbas,Republican
"Naugatuck Day Care, Inc.",27 Carroll Street Naugatuck CT 06770,40.0,0.0,0.0,40.0,FC0000880141,88.0,27 Carroll Street,Naugatuck,06770,41.48908,-73.05015,NAUGATUCK,41.48908,-73.05015,ocd-person/0f203a11-5ba7-452a-89b4-720a617973fb,17,Jorge Cabrera,,,Democratic,70,Rosa C. Rebimbas,Rosa,Rebimbas,Republican
Naugatuck YMCA Preschool & Early Learning Center,284 Church Street Naugatuck CT 06770,9.0,0.0,,9.0,FC0000880241,88.0,284 Church Street,Naugatuck,06770,41.492172,-73.05489,NAUGATUCK,41.492172,-73.05489,ocd-person/0f203a11-5ba7-452a-89b4-720a617973fb,15,Joan V. Hartley,Joan,Hartley,Democratic,70,Rosa C. Rebimbas,Rosa,Rebimbas,Republican
Early Learning Program-CCSU,1285 East Street New Britain CT 06053,24.0,0.0,,24.0,FC0000891441,89.0,1285 East Street,New Britain,06053,41.68758,-72.76035,NEW BRITAIN,41.68758,-72.76035,ocd-person/bdc5f5a0-0285-45d2-a6fd-d29d8b31cd43,6,Rick Lopes,Rick,Lopes,Democratic,26,Peter A. Tercyak,Peter,Tercyak,Democratic
Hospital for Special Care,180 Clinton Street New Britain CT 06053,52.0,40.0,0.0,92.0,FC0000891141,89.0,180 Clinton Street,New Britain,06053,41.67427,-72.80154,NEW BRITAIN,,,,,,,,,,,,,
HRA - Marian Heights Early Learning Academy,314 Osgood Street New Britain CT 06053,17.0,0.0,,17.0,FC0000891541,89.0,314 Osgood Street,New Britain,06053,41.684395,-72.79696,NEW BRITAIN,41.684395,-72.79696,ocd-person/bdc5f5a0-0285-45d2-a6fd-d29d8b31cd43,6,Rick Lopes,Rick,Lopes,Democratic,26,Peter A. Tercyak,Peter,Tercyak,Democratic
HRA of NBB Franklin Early Childcare Lng Admy,180 Clinton Street New Britain CT 06053,146.0,0.0,,146.0,FC0000891641,89.0,180 Clinton Street,New Britain,06053,41.67427,-72.80154,NEW BRITAIN,41.67427,-72.80154,ocd-person/8703dbac-ef19-414d-afe4-1081451f124e,6,Rick Lopes,Rick,Lopes,Democratic,25,Robert Sanchez,Robert,Sanchez,Democratic
New Britain BOE at DiLoreto School,732 Slater Road New Britain CT 06053,,0.0,,0.0,FC0000891111,89.0,732 Slater Road,New Britain,06053,41.686607,-72.80746,NEW BRITAIN,41.686607,-72.80745999999999,ocd-person/3ee72607-8d51-4752-af90-dd669611187b,6,Rick Lopes,Rick,Lopes,Democratic,22,"William A. Petit Jr., M.D.",William,Petit,Republican
New Britain BOE at Gaffney School,322 Slater Road New Britain CT 06053,78.0,0.0,,78.0,FC0000890511,89.0,322 Slater Road,New Britain,06053,41.675934,-72.811165,NEW BRITAIN,41.675934000000005,-72.811165,ocd-person/3ee72607-8d51-4752-af90-dd669611187b,6,Rick Lopes,Rick,Lopes,Democratic,22,"William A. Petit Jr., M.D.",William,Petit,Republican
New Britain BOE at Lincoln Preschool,145 Steele Street New Britain CT 06052,,0.0,,0.0,FC0000890811,89.0,145 Steele Street,New Britain,06052,41.65876,-72.8052,NEW BRITAIN,41.65876,-72.8052,ocd-person/bdc5f5a0-0285-45d2-a6fd-d29d8b31cd43,6,Rick Lopes,Rick,Lopes,Democratic,24,Emmanuel Sanchez,,,Democratic
New Britain BOE at Roosevelt Preschool,40 Goodwin Street New Britain CT 06051,248.0,0.0,,248.0,FC0000890111,89.0,40 Goodwin Street,New Britain,06051,41.665016,-72.762375,NEW BRITAIN,41.665015999999994,-72.762375,ocd-person/bdc5f5a0-0285-45d2-a6fd-d29d8b31cd43,6,Rick Lopes,Rick,Lopes,Democratic,24,Emmanuel Sanchez,,,Democratic
New Britain YMCA - Preschool,50 High Street New Britain CT 06051,40.0,0.0,,40.0,FC0000891941,89.0,50 High Street,New Britain,06051,41.668114,-72.78531,NEW BRITAIN,41.668114,-72.78531,ocd-person/8703dbac-ef19-414d-afe4-1081451f124e,6,Rick Lopes,Rick,Lopes,Democratic,25,Robert Sanchez,Robert,Sanchez,Democratic
YMCA Little Scholars,2150 Corbin Avenue New Britain CT 06053,16.0,0.0,,16.0,FC00089NBxxx,89.0,2150 Corbin Avenue,New Britain,06053,41.688374,-72.800385,NEW BRITAIN,,,,,,,,,,,,,
YWCA of New Britain Child Care Center,19 Franklin Square New Britain CT 06051,197.0,0.0,,197.0,FC0000891241,89.0,19 Franklin Square,New Britain,06051,41.663433,-72.77998,NEW BRITAIN,41.663433000000005,-72.77998000000001,ocd-person/8703dbac-ef19-414d-afe4-1081451f124e,6,Rick Lopes,Rick,Lopes,Democratic,25,Robert Sanchez,Robert,Sanchez,Democratic
Day Care Center of New Canaan,156 South Avenue New Canaan CT 06840,22.0,0.0,14.0,36.0,FC0000900141,90.0,156 South Avenue,New Canaan,06840,41.141056,-73.49135,NEW CANAAN,41.141056,-73.49135,ocd-person/982f8478-39ab-44d8-8322-6807a26e25e4,26,Will Haskell,Will,Haskell,Democratic,125,Tom O'Dea,Tom,O'Dea,Republican
First Step Preschool,"28 State Route 39, Heritage Plaza New Fairfield CT 06812",20.0,0.0,,20.0,FC0000910141,91.0,"28 State Route 39, Heritage Plaza",New Fairfield,06812,,,,,,,,,,,,,,,,
Auntie Rose Child Care Development Center,126 Grand Avenue New Haven CT 06513,10.0,0.0,,10.0,FC0000935241,93.0,126 Grand Avenue,New Haven,06513,41.309204,-72.8929,NEW HAVEN,41.309204,-72.8929,ocd-person/2d21e401-cb76-4001-b836-e57f667f550f,11,Martin M. Looney,Martin,Looney,Democratic,95,Juan R. Candelaria,Juan,Candelaria,Democratic
Calvin Hill Day Care Ctr-KLF Kindergarten,150 Highland Street New Haven CT 06511,11.0,0.0,,11.0,FC0000930141,93.0,150 Highland Street,New Haven,06511,41.328426,-72.9206,NEW HAVEN,41.328426,-72.9206,ocd-person/c78a6285-02a8-4b73-bac9-9f5807c2aacf,11,Martin M. Looney,Martin,Looney,Democratic,94,Robyn A. Porter,Robyn,Porter,Democratic
Catholic Academy of New Haven-St. Aedan Pre School,351 McKinley Avenue New Haven CT 06515,69.0,0.0,,69.0,FC0000930421,93.0,351 McKinley Avenue,New Haven,06515,41.325634,-72.96418,NEW HAVEN,,,,,,,,,,,,,
Catholic Charities Child Development Center-New Haven,790 Grand Avenue New Haven CT 06513,37.0,0.0,,37.0,FC0000933241,93.0,790 Grand Avenue,New Haven,06513,41.307964,-72.91568,NEW HAVEN,41.307964,-72.91568000000001,ocd-person/273e9a65-2254-43f1-ae88-744e1fa3738a,11,Martin M. Looney,Martin,Looney,Democratic,96,Roland J. Lemar,Roland,Lemar,Democratic
Centro San Jose Child Development Center (Catholic Charities),290 Grand Avenue New Haven CT 06513,40.0,0.0,,40.0,FC0000930241,93.0,290 Grand Avenue,New Haven,06513,41.308758,-72.898705,NEW HAVEN,41.308758000000005,-72.898705,ocd-person/2d21e401-cb76-4001-b836-e57f667f550f,11,Martin M. Looney,Martin,Looney,Democratic,95,Juan R. Candelaria,Juan,Candelaria,Democratic
Creating Kids at the CT Children's Museum,22 Wall Street New Haven CT 06511,9.0,0.0,,9.0,FC0000930341,93.0,22 Wall Street,New Haven,06511,41.308445,-72.92087,NEW HAVEN,41.308445,-72.92087,ocd-person/273e9a65-2254-43f1-ae88-744e1fa3738a,11,Martin M. Looney,Martin,Looney,Democratic,96,Roland J. Lemar,Roland,Lemar,Democratic
Creative M.E.,410 Blake Street New Haven CT 06515,11.0,0.0,,11.0,FC0000935041,93.0,410 Blake Street,New Haven,06515,41.328754,-72.95657,NEW HAVEN,41.328753999999996,-72.95657,ocd-person/23d08488-597c-4c35-b41a-f8aef1c264c4,10,Gary A. Winfield,Gary,Winfield,Democratic,92,Patricia A. Dillon,Patricia,Dillon,Democratic
